date,city,petrol_price,diesel_price
2021-06-01,Delhi,83.4,74.07
2021-06-02,Delhi,83.41,74.08
2021-06-03,Delhi,83.43,74.1
2021-06-04,Delhi,83.45,74.12
2021-06-05,Delhi,83.48,74.14
2021-06-06,Delhi,83.48,74.14
2021-06-07,Delhi,83.5,74.16
2021-06-08,Delhi,83.52,74.18
2021-06-09,Delhi,83.54,74.2
2021-06-10,Delhi,83.55,74.21
2021-06-11,Delhi,83.56,74.22
2021-06-12,Delhi,83.59,74.25
2021-06-13,Delhi,83.59,74.25
2021-06-14,Delhi,83.61,74.26
2021-06-15,Delhi,83.63,74.28
2021-06-16,Delhi,83.64,74.29
2021-06-17,Delhi,83.65,74.3
2021-06-18,Delhi,83.66,74.31
2021-06-19,Delhi,83.67,74.32
2021-06-20,Delhi,83.67,74.32
2021-06-21,Delhi,83.69,74.34
2021-06-22,Delhi,83.7,74.35
2021-06-23,Delhi,83.72,74.36
2021-06-24,Delhi,83.73,74.37
2021-06-25,Delhi,83.74,74.38
2021-06-26,Delhi,83.76,74.4
2021-06-27,Delhi,83.77,74.42
2021-06-28,Delhi,83.78,74.42
2021-06-29,Delhi,83.8,74.43
2021-06-30,Delhi,83.81,74.44
2021-07-01,Delhi,83.82,74.46
2021-07-02,Delhi,83.84,74.47
2021-07-03,Delhi,83.86,74.49
2021-07-04,Delhi,83.87,74.5
2021-07-05,Delhi,83.87,74.5
2021-07-06,Delhi,83.87,74.51
2021-07-07,Delhi,83.89,74.52
2021-07-08,Delhi,83.9,74.53
2021-07-09,Delhi,83.92,74.55
2021-07-10,Delhi,83.94,74.57
2021-07-11,Delhi,83.95,74.57
2021-07-12,Delhi,83.97,74.59
2021-07-13,Delhi,83.97,74.6
2021-07-14,Delhi,83.97,74.6
2021-07-15,Delhi,84.0,74.62
2021-07-16,Delhi,84.0,74.62
2021-07-17,Delhi,84.02,74.64
2021-07-18,Delhi,84.04,74.66
2021-07-19,Delhi,84.05,74.67
2021-07-20,Delhi,84.05,74.67
2021-07-21,Delhi,84.07,74.69
2021-07-22,Delhi,84.07,74.69
2021-07-23,Delhi,84.08,74.69
2021-07-24,Delhi,84.09,74.7
2021-07-25,Delhi,84.11,74.72
2021-07-26,Delhi,84.12,74.73
2021-07-27,Delhi,84.14,74.75
2021-07-28,Delhi,84.15,74.76
2021-07-29,Delhi,84.16,74.77
2021-07-30,Delhi,84.17,74.78
2021-07-31,Delhi,84.18,74.79
2021-08-01,Delhi,84.19,74.8
2021-08-02,Delhi,84.2,74.81
2021-08-03,Delhi,84.22,74.83
2021-08-04,Delhi,84.23,74.83
2021-08-05,Delhi,84.24,74.84
2021-08-06,Delhi,84.25,74.85
2021-08-07,Delhi,84.26,74.86
2021-08-08,Delhi,84.28,74.88
2021-08-09,Delhi,84.3,74.89
2021-08-10,Delhi,84.32,74.92
2021-08-11,Delhi,84.33,74.93
2021-08-12,Delhi,84.34,74.94
2021-08-13,Delhi,84.35,74.94
2021-08-14,Delhi,84.36,74.96
2021-08-15,Delhi,84.38,74.97
2021-08-16,Delhi,84.39,74.98
2021-08-17,Delhi,84.4,74.99
2021-08-18,Delhi,84.42,75.01
2021-08-19,Delhi,84.43,75.02
2021-08-20,Delhi,84.44,75.03
2021-08-21,Delhi,84.46,75.04
2021-08-22,Delhi,84.47,75.06
2021-08-23,Delhi,84.49,75.07
2021-08-24,Delhi,84.51,75.09
2021-08-25,Delhi,84.53,75.11
2021-08-26,Delhi,84.54,75.12
2021-08-27,Delhi,84.55,75.13
2021-08-28,Delhi,84.57,75.14
2021-08-29,Delhi,84.58,75.15
2021-08-30,Delhi,84.58,75.15
2021-08-31,Delhi,84.6,75.17
2021-09-01,Delhi,84.61,75.19
2021-09-02,Delhi,84.63,75.2
2021-09-03,Delhi,84.64,75.21
2021-09-04,Delhi,84.66,75.23
2021-09-05,Delhi,84.67,75.24
2021-09-06,Delhi,84.68,75.25
2021-09-07,Delhi,84.68,75.25
2021-09-08,Delhi,84.69,75.26
2021-09-09,Delhi,84.7,75.27
2021-09-10,Delhi,84.72,75.28
2021-09-11,Delhi,84.73,75.3
2021-09-12,Delhi,84.75,75.31
2021-09-13,Delhi,84.77,75.33
2021-09-14,Delhi,84.78,75.33
2021-09-15,Delhi,84.78,75.34
2021-09-16,Delhi,84.79,75.35
2021-09-17,Delhi,84.81,75.37
2021-09-18,Delhi,84.83,75.39
2021-09-19,Delhi,84.85,75.41
2021-09-20,Delhi,84.85,75.41
2021-09-21,Delhi,84.87,75.42
2021-09-22,Delhi,84.89,75.44
2021-09-23,Delhi,84.91,75.45
2021-09-24,Delhi,84.91,75.46
2021-09-25,Delhi,84.93,75.48
2021-09-26,Delhi,84.94,75.48
2021-09-27,Delhi,84.96,75.5
2021-09-28,Delhi,84.97,75.51
2021-09-29,Delhi,84.99,75.53
2021-09-30,Delhi,85.01,75.55
2021-10-01,Delhi,85.02,75.56
2021-10-02,Delhi,85.03,75.57
2021-10-03,Delhi,85.05,75.59
2021-10-04,Delhi,85.06,75.6
2021-10-05,Delhi,85.07,75.61
2021-10-06,Delhi,85.07,75.6
2021-10-07,Delhi,85.09,75.62
2021-10-08,Delhi,85.1,75.63
2021-10-09,Delhi,85.09,75.63
2021-10-10,Delhi,85.09,75.63
2021-10-11,Delhi,85.11,75.64
2021-10-12,Delhi,85.12,75.65
2021-10-13,Delhi,85.14,75.67
2021-10-14,Delhi,85.15,75.68
2021-10-15,Delhi,85.16,75.69
2021-10-16,Delhi,85.16,75.69
2021-10-17,Delhi,85.18,75.71
2021-10-18,Delhi,85.2,75.72
2021-10-19,Delhi,85.21,75.73
2021-10-20,Delhi,85.23,75.75
2021-10-21,Delhi,85.24,75.76
2021-10-22,Delhi,85.25,75.77
2021-10-23,Delhi,85.27,75.79
2021-10-24,Delhi,85.29,75.81
2021-10-25,Delhi,85.31,75.82
2021-10-26,Delhi,85.33,75.85
2021-10-27,Delhi,85.34,75.85
2021-10-28,Delhi,85.36,75.87
2021-10-29,Delhi,85.37,75.88
2021-10-30,Delhi,85.37,75.88
2021-10-31,Delhi,85.38,75.89
2021-11-01,Delhi,85.4,75.91
2021-11-02,Delhi,85.42,75.92
2021-11-03,Delhi,85.43,75.93
2021-11-04,Delhi,85.45,75.96
2021-11-05,Delhi,85.46,75.96
2021-11-06,Delhi,85.46,75.96
2021-11-07,Delhi,85.47,75.97
2021-11-08,Delhi,85.47,75.97
2021-11-09,Delhi,85.49,75.99
2021-11-10,Delhi,85.51,76.01
2021-11-11,Delhi,85.51,76.01
2021-11-12,Delhi,85.52,76.02
2021-11-13,Delhi,85.56,76.05
2021-11-14,Delhi,85.57,76.06
2021-11-15,Delhi,85.57,76.07
2021-11-16,Delhi,85.59,76.08
2021-11-17,Delhi,85.61,76.1
2021-11-18,Delhi,85.62,76.11
2021-11-19,Delhi,85.63,76.12
2021-11-20,Delhi,85.63,76.12
2021-11-21,Delhi,85.65,76.14
2021-11-22,Delhi,85.66,76.15
2021-11-23,Delhi,85.66,76.15
2021-11-24,Delhi,85.68,76.17
2021-11-25,Delhi,85.7,76.19
2021-11-26,Delhi,85.71,76.2
2021-11-27,Delhi,85.72,76.21
2021-11-28,Delhi,85.74,76.22
2021-11-29,Delhi,85.75,76.23
2021-11-30,Delhi,85.75,76.23
2021-12-01,Delhi,85.76,76.24
2021-12-02,Delhi,85.77,76.25
2021-12-03,Delhi,85.78,76.26
2021-12-04,Delhi,85.78,76.26
2021-12-05,Delhi,85.8,76.27
2021-12-06,Delhi,85.81,76.28
2021-12-07,Delhi,85.84,76.31
2021-12-08,Delhi,85.84,76.31
2021-12-09,Delhi,85.84,76.32
2021-12-10,Delhi,85.85,76.32
2021-12-11,Delhi,85.86,76.33
2021-12-12,Delhi,85.86,76.34
2021-12-13,Delhi,85.88,76.35
2021-12-14,Delhi,85.9,76.37
2021-12-15,Delhi,85.92,76.39
2021-12-16,Delhi,85.93,76.4
2021-12-17,Delhi,85.96,76.43
2021-12-18,Delhi,85.99,76.45
2021-12-19,Delhi,86.0,76.46
2021-12-20,Delhi,86.0,76.46
2021-12-21,Delhi,86.01,76.47
2021-12-22,Delhi,86.02,76.48
2021-12-23,Delhi,86.02,76.48
2021-12-24,Delhi,86.03,76.49
2021-12-25,Delhi,86.05,76.5
2021-12-26,Delhi,86.05,76.51
2021-12-27,Delhi,86.07,76.53
2021-12-28,Delhi,86.09,76.54
2021-12-29,Delhi,86.1,76.55
2021-12-30,Delhi,86.11,76.57
2021-12-31,Delhi,86.12,76.57
2022-01-01,Delhi,86.13,76.58
2022-01-02,Delhi,86.14,76.59
2022-01-03,Delhi,86.16,76.61
2022-01-04,Delhi,86.17,76.62
2022-01-05,Delhi,86.17,76.61
2022-01-06,Delhi,86.18,76.63
2022-01-07,Delhi,86.18,76.63
2022-01-08,Delhi,86.2,76.64
2022-01-09,Delhi,86.22,76.67
2022-01-10,Delhi,86.24,76.68
2022-01-11,Delhi,86.24,76.68
2022-01-12,Delhi,86.24,76.68
2022-01-13,Delhi,86.26,76.7
2022-01-14,Delhi,86.28,76.72
2022-01-15,Delhi,86.29,76.73
2022-01-16,Delhi,86.31,76.75
2022-01-17,Delhi,86.37,76.8
2022-01-18,Delhi,86.42,76.85
2022-01-19,Delhi,86.47,76.89
2022-01-20,Delhi,86.51,76.92
2022-01-21,Delhi,86.55,76.96
2022-01-22,Delhi,86.61,77.01
2022-01-23,Delhi,86.66,77.06
2022-01-24,Delhi,86.72,77.12
2022-01-25,Delhi,86.78,77.17
2022-01-26,Delhi,86.83,77.22
2022-01-27,Delhi,86.89,77.27
2022-01-28,Delhi,86.94,77.32
2022-01-29,Delhi,87.0,77.37
2022-01-30,Delhi,87.04,77.41
2022-01-31,Delhi,87.11,77.46
2022-02-01,Delhi,87.16,77.52
2022-02-02,Delhi,87.22,77.57
2022-02-03,Delhi,87.29,77.63
2022-02-04,Delhi,87.35,77.69
2022-02-05,Delhi,87.41,77.74
2022-02-06,Delhi,87.47,77.8
2022-02-07,Delhi,87.52,77.84
2022-02-08,Delhi,87.58,77.89
2022-02-09,Delhi,87.63,77.94
2022-02-10,Delhi,87.68,77.98
2022-02-11,Delhi,87.74,78.04
2022-02-12,Delhi,87.79,78.09
2022-02-13,Delhi,87.86,78.14
2022-02-14,Delhi,87.91,78.19
2022-02-15,Delhi,87.97,78.25
2022-02-16,Delhi,88.04,78.31
2022-02-17,Delhi,88.09,78.35
2022-02-18,Delhi,88.13,78.39
2022-02-19,Delhi,88.19,78.44
2022-02-20,Delhi,88.25,78.5
2022-02-21,Delhi,88.3,78.55
2022-02-22,Delhi,88.35,78.59
2022-02-23,Delhi,88.41,78.65
2022-02-24,Delhi,88.45,78.68
2022-02-25,Delhi,88.5,78.73
2022-02-26,Delhi,88.55,78.77
2022-02-27,Delhi,88.61,78.82
2022-02-28,Delhi,88.66,78.87
2022-03-01,Delhi,88.7,78.91
2022-03-02,Delhi,88.76,78.96
2022-03-03,Delhi,88.8,79.0
2022-03-04,Delhi,88.86,79.05
2022-03-05,Delhi,88.91,79.1
2022-03-06,Delhi,88.96,79.14
2022-03-07,Delhi,89.01,79.19
2022-03-08,Delhi,89.08,79.25
2022-03-09,Delhi,89.13,79.3
2022-03-10,Delhi,89.19,79.35
2022-03-11,Delhi,89.25,79.41
2022-03-12,Delhi,89.3,79.45
2022-03-13,Delhi,89.36,79.51
2022-03-14,Delhi,89.42,79.56
2022-03-15,Delhi,89.48,79.61
2022-03-16,Delhi,89.53,79.66
2022-03-17,Delhi,89.58,79.71
2022-03-18,Delhi,89.65,79.76
2022-03-19,Delhi,89.72,79.83
2022-03-20,Delhi,89.77,79.87
2022-03-21,Delhi,89.83,79.93
2022-03-22,Delhi,89.88,79.98
2022-03-23,Delhi,89.94,80.03
2022-03-24,Delhi,90.0,80.09
2022-03-25,Delhi,90.07,80.14
2022-03-26,Delhi,90.1,80.18
2022-03-27,Delhi,90.15,80.22
2022-03-28,Delhi,90.2,80.27
2022-03-29,Delhi,90.26,80.32
2022-03-30,Delhi,90.31,80.36
2022-03-31,Delhi,90.36,80.41
2022-04-01,Delhi,90.42,80.46
2022-04-02,Delhi,90.49,80.53
2022-04-03,Delhi,90.53,80.56
2022-04-04,Delhi,90.58,80.61
2022-04-05,Delhi,90.64,80.66
2022-04-06,Delhi,90.7,80.71
2022-04-07,Delhi,90.75,80.76
2022-04-08,Delhi,90.8,80.8
2022-04-09,Delhi,90.84,80.85
2022-04-10,Delhi,90.91,80.9
2022-04-11,Delhi,90.97,80.96
2022-04-12,Delhi,91.03,81.01
2022-04-13,Delhi,91.08,81.06
2022-04-14,Delhi,91.13,81.11
2022-04-15,Delhi,91.19,81.16
2022-04-16,Delhi,91.25,81.21
2022-04-17,Delhi,91.31,81.26
2022-04-18,Delhi,91.36,81.31
2022-04-19,Delhi,91.41,81.36
2022-04-20,Delhi,91.46,81.4
2022-04-21,Delhi,91.52,81.46
2022-04-22,Delhi,91.59,81.52
2022-04-23,Delhi,91.64,81.56
2022-04-24,Delhi,91.7,81.62
2022-04-25,Delhi,91.74,81.66
2022-04-26,Delhi,91.81,81.72
2022-04-27,Delhi,91.87,81.77
2022-04-28,Delhi,91.93,81.82
2022-04-29,Delhi,91.99,81.88
2022-04-30,Delhi,92.04,81.93
2022-05-01,Delhi,92.09,81.98
2022-05-02,Delhi,92.15,82.02
2022-05-03,Delhi,92.2,82.07
2022-05-04,Delhi,92.25,82.12
2022-05-05,Delhi,92.31,82.17
2022-05-06,Delhi,92.36,82.22
2022-05-07,Delhi,92.42,82.27
2022-05-08,Delhi,92.49,82.33
2022-05-09,Delhi,92.54,82.38
2022-05-10,Delhi,92.59,82.42
2022-05-11,Delhi,92.65,82.48
2022-05-12,Delhi,92.71,82.54
2022-05-13,Delhi,92.77,82.58
2022-05-14,Delhi,92.81,82.63
2022-05-15,Delhi,92.87,82.68
2022-05-16,Delhi,92.94,82.74
2022-05-17,Delhi,92.98,82.78
2022-05-18,Delhi,93.04,82.83
2022-05-19,Delhi,93.09,82.88
2022-05-20,Delhi,93.14,82.93
2022-05-21,Delhi,93.2,82.98
2022-05-22,Delhi,93.25,83.02
2022-05-23,Delhi,93.31,83.07
2022-05-24,Delhi,93.37,83.13
2022-05-25,Delhi,93.43,83.19
2022-05-26,Delhi,93.48,83.23
2022-05-27,Delhi,93.52,83.27
2022-05-28,Delhi,93.57,83.31
2022-05-29,Delhi,93.61,83.35
2022-05-30,Delhi,93.68,83.41
2022-05-31,Delhi,93.74,83.46
2022-06-01,Delhi,93.78,83.5
2022-06-02,Delhi,93.83,83.55
2022-06-03,Delhi,93.88,83.59
2022-06-04,Delhi,93.93,83.64
2022-06-05,Delhi,93.94,83.64
2022-06-06,Delhi,93.94,83.65
2022-06-07,Delhi,93.93,83.64
2022-06-08,Delhi,93.92,83.62
2022-06-09,Delhi,93.91,83.62
2022-06-10,Delhi,93.91,83.62
2022-06-11,Delhi,93.92,83.63
2022-06-12,Delhi,93.91,83.62
2022-06-13,Delhi,93.9,83.61
2022-06-14,Delhi,93.89,83.61
2022-06-15,Delhi,93.89,83.6
2022-06-16,Delhi,93.89,83.6
2022-06-17,Delhi,93.87,83.59
2022-06-18,Delhi,93.86,83.57
2022-06-19,Delhi,93.85,83.57
2022-06-20,Delhi,93.83,83.55
2022-06-21,Delhi,93.84,83.56
2022-06-22,Delhi,93.83,83.55
2022-06-23,Delhi,93.81,83.54
2022-06-24,Delhi,93.8,83.53
2022-06-25,Delhi,93.79,83.52
2022-06-26,Delhi,93.79,83.51
2022-06-27,Delhi,93.79,83.51
2022-06-28,Delhi,93.77,83.5
2022-06-29,Delhi,93.75,83.48
2022-06-30,Delhi,93.74,83.47
2022-07-01,Delhi,93.73,83.47
2022-07-02,Delhi,93.73,83.46
2022-07-03,Delhi,93.72,83.46
2022-07-04,Delhi,93.71,83.45
2022-07-05,Delhi,93.71,83.45
2022-07-06,Delhi,93.7,83.44
2022-07-07,Delhi,93.69,83.43
2022-07-08,Delhi,93.68,83.42
2022-07-09,Delhi,93.66,83.41
2022-07-10,Delhi,93.66,83.4
2022-07-11,Delhi,93.66,83.4
2022-07-12,Delhi,93.64,83.38
2022-07-13,Delhi,93.62,83.37
2022-07-14,Delhi,93.62,83.36
2022-07-15,Delhi,93.62,83.36
2022-07-16,Delhi,93.6,83.35
2022-07-17,Delhi,93.6,83.35
2022-07-18,Delhi,93.58,83.33
2022-07-19,Delhi,93.59,83.34
2022-07-20,Delhi,93.59,83.34
2022-07-21,Delhi,93.59,83.34
2022-07-22,Delhi,93.58,83.34
2022-07-23,Delhi,93.58,83.34
2022-07-24,Delhi,93.58,83.33
2022-07-25,Delhi,93.57,83.33
2022-07-26,Delhi,93.57,83.32
2022-07-27,Delhi,93.56,83.32
2022-07-28,Delhi,93.57,83.32
2022-07-29,Delhi,93.55,83.31
2022-07-30,Delhi,93.54,83.3
2022-07-31,Delhi,93.54,83.3
2022-08-01,Delhi,93.54,83.3
2022-08-02,Delhi,93.54,83.3
2022-08-03,Delhi,93.52,83.29
2022-08-04,Delhi,93.52,83.28
2022-08-05,Delhi,93.5,83.27
2022-08-06,Delhi,93.51,83.27
2022-08-07,Delhi,93.51,83.27
2022-08-08,Delhi,93.51,83.28
2022-08-09,Delhi,93.51,83.27
2022-08-10,Delhi,93.5,83.26
2022-08-11,Delhi,93.5,83.26
2022-08-12,Delhi,93.5,83.27
2022-08-13,Delhi,93.5,83.27
2022-08-14,Delhi,93.49,83.26
2022-08-15,Delhi,93.49,83.26
2022-08-16,Delhi,93.48,83.25
2022-08-17,Delhi,93.48,83.25
2022-08-18,Delhi,93.47,83.24
2022-08-19,Delhi,93.46,83.23
2022-08-20,Delhi,93.45,83.23
2022-08-21,Delhi,93.45,83.22
2022-08-22,Delhi,93.46,83.23
2022-08-23,Delhi,93.45,83.22
2022-08-24,Delhi,93.44,83.21
2022-08-25,Delhi,93.36,83.14
2022-08-26,Delhi,93.27,83.06
2022-08-27,Delhi,93.18,82.98
2022-08-28,Delhi,93.11,82.92
2022-08-29,Delhi,93.02,82.84
2022-08-30,Delhi,92.96,82.78
2022-08-31,Delhi,92.89,82.72
2022-09-01,Delhi,92.82,82.65
2022-09-02,Delhi,92.75,82.6
2022-09-03,Delhi,92.68,82.53
2022-09-04,Delhi,92.61,82.47
2022-09-05,Delhi,92.54,82.4
2022-09-06,Delhi,92.47,82.34
2022-09-07,Delhi,92.39,82.27
2022-09-08,Delhi,92.32,82.21
2022-09-09,Delhi,92.24,82.14
2022-09-10,Delhi,92.16,82.07
2022-09-11,Delhi,92.09,82.01
2022-09-12,Delhi,92.02,81.94
2022-09-13,Delhi,91.94,81.87
2022-09-14,Delhi,91.87,81.81
2022-09-15,Delhi,91.8,81.75
2022-09-16,Delhi,91.72,81.67
2022-09-17,Delhi,91.65,81.61
2022-09-18,Delhi,91.58,81.54
2022-09-19,Delhi,91.5,81.47
2022-09-20,Delhi,91.43,81.41
2022-09-21,Delhi,91.34,81.33
2022-09-22,Delhi,91.28,81.27
2022-09-23,Delhi,91.2,81.21
2022-09-24,Delhi,91.12,81.14
2022-09-25,Delhi,91.06,81.08
2022-09-26,Delhi,90.98,81.01
2022-09-27,Delhi,90.91,80.95
2022-09-28,Delhi,90.83,80.87
2022-09-29,Delhi,90.75,80.8
2022-09-30,Delhi,90.66,80.72
2022-10-01,Delhi,90.59,80.66
2022-10-02,Delhi,90.52,80.6
2022-10-03,Delhi,90.45,80.53
2022-10-04,Delhi,90.38,80.47
2022-10-05,Delhi,90.3,80.39
2022-10-06,Delhi,90.21,80.32
2022-10-07,Delhi,90.14,80.25
2022-10-08,Delhi,90.06,80.19
2022-10-09,Delhi,89.99,80.12
2022-10-10,Delhi,89.92,80.06
2022-10-11,Delhi,89.85,79.99
2022-10-12,Delhi,89.77,79.92
2022-10-13,Delhi,89.7,79.86
2022-10-14,Delhi,89.63,79.8
2022-10-15,Delhi,89.55,79.73
2022-10-16,Delhi,89.48,79.66
2022-10-17,Delhi,89.41,79.6
2022-10-18,Delhi,89.34,79.54
2022-10-19,Delhi,89.27,79.48
2022-10-20,Delhi,89.19,79.4
2022-10-21,Delhi,89.13,79.35
2022-10-22,Delhi,89.04,79.27
2022-10-23,Delhi,89.02,79.25
2022-10-24,Delhi,89.01,79.24
2022-10-25,Delhi,89.01,79.25
2022-10-26,Delhi,89.01,79.24
2022-10-27,Delhi,89.0,79.23
2022-10-28,Delhi,88.98,79.22
2022-10-29,Delhi,88.98,79.22
2022-10-30,Delhi,88.97,79.21
2022-10-31,Delhi,88.96,79.2
2022-11-01,Delhi,88.94,79.18
2022-11-02,Delhi,85.95,76.49
2022-11-03,Delhi,85.96,76.5
2022-11-04,Delhi,85.98,76.51
2022-11-05,Delhi,85.99,76.53
2022-11-06,Delhi,86.0,76.54
2022-11-07,Delhi,86.0,76.54
2022-11-08,Delhi,86.01,76.55
2022-11-09,Delhi,86.02,76.55
2022-11-10,Delhi,86.03,76.57
2022-11-11,Delhi,86.05,76.58
2022-11-12,Delhi,86.06,76.59
2022-11-13,Delhi,86.06,76.59
2022-11-14,Delhi,86.08,76.61
2022-11-15,Delhi,86.1,76.63
2022-11-16,Delhi,86.11,76.63
2022-11-17,Delhi,86.1,76.63
2022-11-18,Delhi,86.11,76.64
2022-11-19,Delhi,86.13,76.65
2022-11-20,Delhi,86.15,76.67
2022-11-21,Delhi,86.16,76.68
2022-11-22,Delhi,86.16,76.69
2022-11-23,Delhi,86.17,76.7
2022-11-24,Delhi,86.19,76.71
2022-11-25,Delhi,86.2,76.72
2022-11-26,Delhi,86.21,76.73
2022-11-27,Delhi,86.22,76.74
2022-11-28,Delhi,86.23,76.75
2022-11-29,Delhi,86.23,76.75
