listing_date,model_name,city,mileage_kmpl,age_years,kms_driven,owner,price_inr_thousands,fuel_pct_change_1yr
2024-07-28,Honda Activa 6G,Mumbai,55,4.0,16226,1st Owner,48.6,9.39
2025-02-14,Suzuki Access 125,Mumbai,50,5.9,26612,3rd Owner,29.4,4.73
2025-03-19,KTM Duke 200,Delhi,32,1.7,7257,1st Owner,151.1,5.0
2025-07-12,Honda Activa 6G,Mumbai,55,2.1,17393,1st Owner,55.5,4.57
2022-09-29,KTM Duke 200,Mumbai,32,4.9,29269,2nd Owner,81.1,10.09
2023-10-21,Hero Splendor Plus,Mumbai,65,0.6,3618,2nd Owner,61.1,1.46
2022-01-24,Royal Enfield Classic 350,Delhi,35,2.1,15220,1st Owner,145.8,0.0
2022-11-05,Bajaj Platina,Delhi,62,5.6,46062,2nd Owner,25.8,7.62
2023-07-05,TVS Jupiter,Mumbai,52,4.6,28569,1st Owner,37.4,-4.81
2022-03-11,Bajaj Platina,Bengaluru,62,1.6,9731,2nd Owner,54.2,5.77
2023-08-23,TVS Jupiter,Bengaluru,52,5.6,26135,3rd Owner,29.4,-0.63
2024-01-21,Yamaha FZ-S,Delhi,42,3.0,21164,2nd Owner,66.2,10.19
2025-08-27,Yamaha FZ-S,Mumbai,42,6.3,43285,3rd Owner,35.3,4.52
2025-07-28,Suzuki Access 125,Mumbai,50,5.4,23288,3rd Owner,31.9,4.54
2025-10-14,Hero Splendor Plus,Bengaluru,65,1.5,11398,1st Owner,62.4,4.59
2022-03-13,Hero HF Deluxe,Mumbai,68,2.3,19077,2nd Owner,43.6,5.74
2022-11-04,Suzuki Access 125,Bengaluru,50,1.5,7936,1st Owner,68.9,7.43
2023-10-20,Bajaj Pulsar 150,Mumbai,45,4.1,31314,2nd Owner,50.7,1.37
2023-03-19,Hero Splendor Plus,Bengaluru,65,6.6,42910,2nd Owner,22.3,-0.18
2024-07-19,Bajaj Pulsar 150,Bengaluru,45,2.1,15606,1st Owner,76.7,9.59
2025-08-24,TVS Jupiter,Mumbai,52,5.8,38968,1st Owner,29.6,4.52
2024-04-09,Bajaj Platina,Mumbai,62,0.6,2572,1st Owner,66.9,9.48
2022-08-22,Suzuki Access 125,Delhi,50,2.4,10175,1st Owner,61.4,11.66
2022-01-23,TVS Jupiter,Delhi,52,6.8,38799,2nd Owner,23.5,0.0
2022-05-31,KTM Duke 200,Delhi,32,0.6,4897,3rd Owner,141.4,10.11
2024-03-21,Suzuki Access 125,Delhi,50,1.5,7844,1st Owner,69.1,10.09
2026-01-24,TVS Jupiter,Mumbai,52,6.2,36221,2nd Owner,26.1,4.28
2022-07-09,TVS Jupiter,Bengaluru,52,0.9,7094,2nd Owner,65.2,11.57
2022-11-11,Suzuki Access 125,Mumbai,50,5.9,29994,2nd Owner,30.8,6.55
2022-06-25,Hero Splendor Plus,Delhi,65,0.7,4281,1st Owner,74.3,11.3
2022-07-28,Suzuki Access 125,Delhi,50,5.2,37069,1st Owner,35.7,12.33
2026-06-20,Suzuki Access 125,Mumbai,50,7.4,61808,1st Owner,23.1,4.13
2022-05-21,Royal Enfield Classic 350,Mumbai,35,5.8,44170,1st Owner,74.5,8.98
2024-07-07,KTM Duke 200,Bengaluru,32,0.6,2454,1st Owner,171.7,9.59
2024-10-03,Honda Activa 6G,Bengaluru,55,4.5,26528,2nd Owner,38.5,4.89
2023-03-28,Bajaj Platina,Delhi,62,2.0,15080,1st Owner,49.6,-0.65
2022-08-07,Yamaha FZ-S,Bengaluru,42,4.5,28341,3rd Owner,48.4,11.54
2024-03-29,Bajaj Pulsar 150,Mumbai,45,1.5,10049,3rd Owner,73.6,9.46
2023-05-02,Honda Activa 6G,Bengaluru,55,1.0,7943,2nd Owner,60.0,-2.2
2026-03-30,Hero Splendor Plus,Delhi,65,2.8,19078,1st Owner,48.6,4.4
2022-11-16,Yamaha FZ-S,Bengaluru,42,2.7,22932,2nd Owner,63.7,6.18
2025-10-29,Honda Activa 6G,Bengaluru,55,7.0,35818,1st Owner,28.2,4.51
2022-01-21,Suzuki Access 125,Mumbai,50,5.2,22835,1st Owner,37.8,0.0
2022-10-20,Hero HF Deluxe,Mumbai,68,3.6,15952,1st Owner,42.0,8.69
2026-06-27,Honda Activa 6G,Delhi,55,5.1,20575,1st Owner,39.3,4.34
2022-12-06,KTM Duke 200,Mumbai,32,2.2,15209,1st Owner,139.4,4.16
2026-05-26,TVS Jupiter,Delhi,52,7.4,50687,1st Owner,21.7,4.45
2024-01-11,Bajaj Platina,Delhi,62,1.1,6531,2nd Owner,57.1,10.17
2022-07-10,Royal Enfield Classic 350,Bengaluru,35,4.9,30276,3rd Owner,77.3,11.62
2024-11-18,Hero Splendor Plus,Delhi,65,3.4,22992,2nd Owner,40.8,4.94
2026-01-16,Bajaj Platina,Mumbai,62,3.7,26647,2nd Owner,36.7,4.29
2022-06-09,Royal Enfield Classic 350,Bengaluru,35,3.9,28680,1st Owner,103.3,10.06
2025-09-21,Honda Activa 6G,Mumbai,55,6.5,36706,1st Owner,28.7,4.45
2024-02-08,Suzuki Access 125,Mumbai,50,5.0,33883,1st Owner,39.1,9.4
2025-01-05,Bajaj Platina,Delhi,62,3.8,25730,1st Owner,38.4,4.93
2023-06-17,Honda Activa 6G,Mumbai,55,3.2,18948,1st Owner,46.8,-4.07
2024-09-27,Suzuki Access 125,Delhi,50,5.5,37780,2nd Owner,31.6,5.13
2023-01-15,Bajaj Platina,Delhi,62,2.6,15434,1st Owner,50.0,0.58
2022-05-31,Bajaj Pulsar 150,Bengaluru,45,1.0,7280,2nd Owner,82.7,9.68
2023-04-14,Royal Enfield Classic 350,Bengaluru,35,6.5,50474,1st Owner,63.9,-1.4
2024-09-10,Yamaha FZ-S,Bengaluru,42,1.7,9725,1st Owner,84.0,5.0
2022-12-24,KTM Duke 200,Mumbai,32,5.1,40444,2nd Owner,71.0,0.58
2024-01-05,Bajaj Pulsar 150,Mumbai,45,4.0,25964,1st Owner,55.1,9.54
2023-05-14,Bajaj Platina,Bengaluru,62,6.4,35876,1st Owner,26.7,-2.71
2025-06-10,Yamaha FZ-S,Delhi,42,6.7,58771,2nd Owner,33.1,4.88
2023-05-14,Hero Splendor Plus,Mumbai,65,5.3,38355,3rd Owner,25.6,-2.65
2022-09-20,Yamaha FZ-S,Delhi,42,5.8,46194,3rd Owner,37.7,10.99
2024-06-27,Royal Enfield Classic 350,Mumbai,35,0.7,4881,3rd Owner,152.8,9.32
2024-06-13,Suzuki Access 125,Bengaluru,50,5.7,43300,2nd Owner,31.4,9.59
2025-02-18,Royal Enfield Classic 350,Delhi,35,3.4,27618,2nd Owner,99.3,5.03
2026-01-12,Royal Enfield Classic 350,Delhi,35,3.3,13505,1st Owner,120.7,4.57
2022-05-29,Honda Activa 6G,Bengaluru,55,3.7,27373,2nd Owner,42.8,9.56
2026-03-10,TVS Jupiter,Mumbai,52,2.4,18459,2nd Owner,48.6,4.19
2022-10-14,Bajaj Pulsar 150,Mumbai,45,4.3,29624,2nd Owner,52.5,9.26
2023-12-26,Royal Enfield Classic 350,Delhi,35,6.8,47647,1st Owner,65.9,10.23
2023-07-29,KTM Duke 200,Bengaluru,32,1.7,8108,1st Owner,152.3,-5.3
2022-11-23,Bajaj Platina,Delhi,62,2.9,23439,2nd Owner,43.3,5.76
2026-03-25,TVS Jupiter,Bengaluru,52,7.5,55999,1st Owner,21.7,4.24
2024-06-10,TVS Jupiter,Bengaluru,52,5.9,27999,1st Owner,31.6,9.59
2023-06-09,TVS Jupiter,Bengaluru,52,4.1,29400,2nd Owner,37.5,-3.85
2025-04-13,Hero Splendor Plus,Delhi,65,4.5,25204,1st Owner,37.0,4.89
2023-03-02,Yamaha FZ-S,Mumbai,42,4.8,26577,1st Owner,54.0,0.55
2024-11-15,Hero Splendor Plus,Mumbai,65,2.0,15385,2nd Owner,51.4,4.66
2025-10-02,Bajaj Platina,Mumbai,62,4.1,18847,1st Owner,39.9,4.5
2024-03-31,Suzuki Access 125,Mumbai,50,2.6,19766,2nd Owner,52.5,9.48
2025-10-01,Honda Activa 6G,Bengaluru,55,3.9,17493,2nd Owner,41.6,4.58
2022-10-12,TVS Jupiter,Delhi,52,1.6,13598,2nd Owner,56.6,10.1
2025-11-30,Suzuki Access 125,Delhi,50,3.1,19380,1st Owner,51.8,4.7
2024-12-17,Bajaj Platina,Delhi,62,4.2,36798,1st Owner,35.6,4.81
2022-01-31,Suzuki Access 125,Mumbai,50,3.5,28151,1st Owner,46.9,0.0
2023-03-22,Suzuki Access 125,Mumbai,50,1.0,4197,2nd Owner,69.8,-0.33
2024-05-05,Honda Activa 6G,Bengaluru,55,3.8,15456,2nd Owner,45.7,9.61
2023-11-14,TVS Jupiter,Delhi,52,1.7,9690,2nd Owner,55.0,4.0
2022-07-17,Bajaj Platina,Delhi,62,3.3,20071,3rd Owner,39.3,12.49
2022-05-29,Hero HF Deluxe,Delhi,68,7.0,33034,2nd Owner,21.2,9.99
2026-01-22,Hero HF Deluxe,Delhi,68,3.1,22843,2nd Owner,36.1,4.51
2026-03-21,Yamaha FZ-S,Bengaluru,42,1.9,14147,2nd Owner,75.8,4.25
2023-07-04,Bajaj Pulsar 150,Mumbai,45,4.4,26852,1st Owner,53.6,-4.77
2026-01-15,Hero HF Deluxe,Bengaluru,68,0.7,5973,1st Owner,60.5,4.4
2024-12-28,Hero HF Deluxe,Delhi,68,1.8,8056,1st Owner,50.0,4.91
2025-09-28,Hero HF Deluxe,Delhi,68,3.8,21076,3rd Owner,31.1,4.76
2025-12-08,Suzuki Access 125,Mumbai,50,5.9,40643,1st Owner,32.8,4.41
2026-06-22,Bajaj Platina,Mumbai,62,7.1,29772,1st Owner,25.2,4.11
2024-10-14,Honda Activa 6G,Bengaluru,55,3.2,26620,1st Owner,46.7,4.87
2026-01-18,Hero Splendor Plus,Mumbai,65,4.1,16861,1st Owner,42.5,4.29
2024-05-23,Suzuki Access 125,Bengaluru,50,1.0,6858,1st Owner,74.7,9.63
2023-02-10,Bajaj Pulsar 150,Mumbai,45,6.6,39843,2nd Owner,35.6,0.59
2024-05-01,Hero HF Deluxe,Mumbai,68,7.7,42104,1st Owner,19.7,9.41
2022-01-10,Hero Splendor Plus,Mumbai,65,5.1,26309,1st Owner,32.5,0.0
2024-08-31,Bajaj Platina,Mumbai,62,1.6,12088,1st Owner,55.8,4.88
2025-09-26,TVS Jupiter,Mumbai,52,2.9,16874,1st Owner,50.7,4.48
2023-01-31,Suzuki Access 125,Mumbai,50,7.3,60762,2nd Owner,20.8,0.61
2022-09-23,Royal Enfield Classic 350,Bengaluru,35,2.4,11153,1st Owner,138.6,10.46
2023-09-01,Hero Splendor Plus,Bengaluru,65,1.4,10118,2nd Owner,54.4,-0.41
2023-03-24,Suzuki Access 125,Mumbai,50,5.4,44360,1st Owner,33.8,-0.41
2022-07-10,Royal Enfield Classic 350,Mumbai,35,1.9,11233,3rd Owner,123.4,11.34
2025-04-02,Bajaj Platina,Mumbai,62,3.2,23264,1st Owner,42.0,4.65
2024-04-27,Yamaha FZ-S,Bengaluru,42,2.8,16418,2nd Owner,65.9,9.65
2024-10-03,Royal Enfield Classic 350,Bengaluru,35,4.7,34373,2nd Owner,83.7,4.89
2023-07-10,Hero Splendor Plus,Mumbai,65,4.9,29662,3rd Owner,29.1,-5.04
2024-07-17,Hero HF Deluxe,Bengaluru,68,1.6,8784,1st Owner,54.8,9.6
2024-11-18,Yamaha FZ-S,Bengaluru,42,3.3,17586,1st Owner,67.3,4.75
2022-08-30,Hero HF Deluxe,Bengaluru,68,2.4,12942,1st Owner,46.6,10.94
2022-03-18,Bajaj Platina,Bengaluru,62,1.6,7279,1st Owner,60.1,6.14
2024-06-25,Yamaha FZ-S,Bengaluru,42,2.6,12990,2nd Owner,72.0,9.52
2024-04-22,Hero Splendor Plus,Delhi,65,1.0,5273,2nd Owner,60.8,10.06
2022-06-23,Hero HF Deluxe,Delhi,68,6.9,60234,1st Owner,19.6,11.2
2025-09-18,Bajaj Platina,Delhi,62,7.4,40840,1st Owner,23.5,4.72
2023-08-13,Yamaha FZ-S,Delhi,42,5.7,29440,2nd Owner,45.4,-0.9
2022-12-28,KTM Duke 200,Delhi,32,3.0,13495,1st Owner,120.3,0.58
2025-08-05,Bajaj Pulsar 150,Mumbai,45,4.9,19963,1st Owner,51.9,4.53
2025-02-22,Suzuki Access 125,Delhi,50,7.0,53679,1st Owner,25.3,5.05
2024-08-13,TVS Jupiter,Bengaluru,52,6.1,44742,1st Owner,28.6,5.04
2025-01-10,Hero HF Deluxe,Delhi,68,3.3,27660,1st Owner,36.9,4.97
2025-06-12,Bajaj Platina,Delhi,62,5.9,35908,3rd Owner,24.7,4.88
2024-11-14,Honda Activa 6G,Mumbai,55,2.8,22608,2nd Owner,44.4,4.67
2025-07-08,Hero HF Deluxe,Delhi,68,3.1,19961,3rd Owner,33.5,4.83
2026-05-16,Bajaj Pulsar 150,Bengaluru,45,7.9,49283,1st Owner,31.4,4.27
2023-08-02,Hero Splendor Plus,Bengaluru,65,5.4,31767,1st Owner,32.5,-5.23
2025-09-22,Honda Activa 6G,Mumbai,55,4.6,35756,2nd Owner,33.3,4.45
2022-03-18,KTM Duke 200,Bengaluru,32,6.4,44641,1st Owner,65.2,6.14
2024-12-20,Hero Splendor Plus,Delhi,65,2.4,12453,1st Owner,54.9,4.8
2022-05-03,Honda Activa 6G,Bengaluru,55,4.3,24880,1st Owner,41.0,8.38
2022-03-12,Yamaha FZ-S,Bengaluru,42,3.6,29886,1st Owner,60.8,5.83
2022-04-30,Royal Enfield Classic 350,Mumbai,35,3.4,26181,3rd Owner,99.0,8.02
2022-02-04,Honda Activa 6G,Delhi,55,5.5,26754,3rd Owner,27.6,0.0
2023-10-11,Honda Activa 6G,Bengaluru,55,1.6,13071,3rd Owner,52.6,0.63
2024-09-20,Bajaj Pulsar 150,Delhi,45,1.8,15668,1st Owner,78.6,5.16
2023-10-25,Hero Splendor Plus,Mumbai,65,7.4,34330,1st Owner,24.4,1.86
2024-10-13,Royal Enfield Classic 350,Mumbai,35,6.0,36202,1st Owner,73.2,4.76
2026-03-25,Bajaj Pulsar 150,Delhi,45,0.7,3367,2nd Owner,89.5,4.4
2022-11-14,Bajaj Pulsar 150,Delhi,45,5.2,39462,1st Owner,44.3,6.65
2025-06-04,Suzuki Access 125,Delhi,50,2.3,17647,1st Owner,56.6,4.87
2024-10-29,Yamaha FZ-S,Bengaluru,42,7.4,30337,1st Owner,38.5,4.81
2023-10-06,Suzuki Access 125,Bengaluru,50,1.4,11622,2nd Owner,60.6,0.27
2024-11-03,Hero Splendor Plus,Mumbai,65,6.9,52605,3rd Owner,20.0,4.71
2023-08-23,Honda Activa 6G,Bengaluru,55,4.6,26852,2nd Owner,36.7,-0.63
2024-04-08,Bajaj Platina,Delhi,62,4.2,23553,1st Owner,38.4,10.11
2025-02-24,Hero Splendor Plus,Delhi,65,2.7,17598,2nd Owner,45.9,5.05
2023-07-04,Suzuki Access 125,Bengaluru,50,3.4,29598,1st Owner,48.8,-4.87
2022-12-29,Hero Splendor Plus,Delhi,65,5.7,46382,2nd Owner,26.3,0.6
2022-11-19,Hero HF Deluxe,Bengaluru,68,5.7,39557,1st Owner,25.8,5.89
2024-09-27,Hero Splendor Plus,Mumbai,65,0.6,3481,1st Owner,72.4,4.83
2023-05-11,KTM Duke 200,Delhi,32,5.1,36147,1st Owner,82.3,-2.71
2023-01-30,TVS Jupiter,Mumbai,52,1.2,9257,2nd Owner,56.0,0.62
2025-03-17,KTM Duke 200,Mumbai,32,3.4,17991,1st Owner,110.0,4.71
2022-07-09,KTM Duke 200,Delhi,32,4.3,23454,2nd Owner,93.9,12.09
2024-06-05,Suzuki Access 125,Delhi,50,3.1,16518,1st Owner,53.5,10.03
2025-09-06,Hero HF Deluxe,Bengaluru,68,6.7,48923,1st Owner,20.4,4.56
2023-08-14,Hero Splendor Plus,Bengaluru,65,3.7,22231,1st Owner,43.0,-0.83
2022-04-09,Royal Enfield Classic 350,Delhi,35,2.7,18128,3rd Owner,108.7,7.57
2025-12-27,Yamaha FZ-S,Mumbai,42,8.0,33450,2nd Owner,33.1,4.34
2024-07-09,TVS Jupiter,Bengaluru,52,4.2,36986,1st Owner,38.0,9.63
2023-07-11,Suzuki Access 125,Bengaluru,50,3.0,25716,3rd Owner,42.8,-5.18
2023-09-26,KTM Duke 200,Delhi,32,5.2,27126,2nd Owner,74.9,0.05
2023-07-23,Hero Splendor Plus,Delhi,65,4.2,36855,2nd Owner,33.9,-5.62
2023-06-18,Bajaj Pulsar 150,Bengaluru,45,3.2,25183,1st Owner,63.8,-4.2
2024-06-07,TVS Jupiter,Delhi,52,6.1,30836,1st Owner,31.7,10.03
2023-06-26,Yamaha FZ-S,Bengaluru,42,7.9,60620,3rd Owner,25.4,-4.53
2024-08-22,Bajaj Platina,Bengaluru,62,5.3,46220,1st Owner,27.7,5.05
2022-09-17,Bajaj Platina,Mumbai,62,2.3,17714,2nd Owner,46.5,10.32
2025-09-21,Bajaj Platina,Bengaluru,62,4.4,39182,1st Owner,35.0,4.55
2024-01-15,Yamaha FZ-S,Delhi,42,7.2,43393,1st Owner,35.8,10.19
2023-03-07,Honda Activa 6G,Mumbai,55,6.8,52606,2nd Owner,23.9,0.39
2025-02-27,Royal Enfield Classic 350,Delhi,35,7.7,42796,1st Owner,61.2,5.02
2022-02-07,Bajaj Pulsar 150,Mumbai,45,7.1,53133,1st Owner,34.0,0.0
2025-11-16,Royal Enfield Classic 350,Bengaluru,35,0.8,6154,3rd Owner,153.4,4.52
2024-04-19,Royal Enfield Classic 350,Delhi,35,3.0,14539,2nd Owner,121.1,10.06
2024-02-25,TVS Jupiter,Bengaluru,52,0.8,5325,2nd Owner,67.0,9.67
2025-08-10,TVS Jupiter,Delhi,52,3.0,20776,1st Owner,48.0,4.79
2022-11-28,Bajaj Pulsar 150,Bengaluru,45,1.8,8972,1st Owner,85.9,5.04
2025-06-08,Bajaj Platina,Mumbai,62,4.6,35243,1st Owner,35.0,4.6
2023-07-10,Hero Splendor Plus,Mumbai,65,3.0,13049,1st Owner,47.3,-5.04
2025-07-26,Hero HF Deluxe,Bengaluru,68,2.2,15226,1st Owner,46.9,4.63
2025-09-22,Hero Splendor Plus,Mumbai,65,1.3,11390,1st Owner,64.2,4.45
2023-10-16,Bajaj Pulsar 150,Mumbai,45,1.7,8402,2nd Owner,76.9,1.03
2022-11-14,Bajaj Pulsar 150,Bengaluru,45,6.0,44714,2nd Owner,37.1,6.37
2023-05-01,KTM Duke 200,Bengaluru,32,5.2,22286,1st Owner,88.9,-2.13
2024-08-22,Hero Splendor Plus,Mumbai,65,1.9,16640,1st Owner,55.8,4.94
2023-02-25,Hero Splendor Plus,Bengaluru,65,4.2,21392,1st Owner,41.3,0.61
2025-09-09,KTM Duke 200,Delhi,32,2.4,12015,1st Owner,132.2,4.73
2025-08-30,Suzuki Access 125,Mumbai,50,7.5,42179,1st Owner,25.4,4.52
2022-01-03,Hero HF Deluxe,Mumbai,68,3.5,23060,1st Owner,37.5,0.0
2022-07-24,Suzuki Access 125,Bengaluru,50,4.6,23959,1st Owner,43.7,11.88
2025-02-19,Yamaha FZ-S,Delhi,42,5.9,33456,2nd Owner,39.7,5.0
2024-05-17,Yamaha FZ-S,Mumbai,42,6.7,58327,1st Owner,36.6,9.39
2026-03-10,Bajaj Pulsar 150,Mumbai,45,4.9,20623,3rd Owner,46.6,4.19
2022-12-21,Yamaha FZ-S,Bengaluru,42,1.0,8878,2nd Owner,90.3,0.61
2024-05-22,Bajaj Pulsar 150,Mumbai,45,1.2,8362,2nd Owner,83.6,9.4
2026-03-07,Hero HF Deluxe,Bengaluru,68,2.2,10187,1st Owner,46.1,4.26
2022-03-14,Honda Activa 6G,Bengaluru,55,7.7,50811,1st Owner,22.6,5.96
2024-08-02,Yamaha FZ-S,Delhi,42,2.4,20693,1st Owner,74.8,10.02
2024-11-02,KTM Duke 200,Delhi,32,2.9,11877,2nd Owner,110.2,5.01
2024-08-22,Bajaj Pulsar 150,Bengaluru,45,6.4,47348,2nd Owner,33.8,5.05
2025-11-04,Bajaj Platina,Delhi,62,0.5,2696,1st Owner,67.0,4.65
2025-01-05,TVS Jupiter,Bengaluru,52,3.2,21419,3rd Owner,37.8,4.74
2023-03-16,Hero Splendor Plus,Bengaluru,65,6.9,28496,1st Owner,27.6,-0.02
2024-02-17,Bajaj Pulsar 150,Bengaluru,45,8.0,37392,1st Owner,32.8,9.69
2025-01-30,Hero HF Deluxe,Delhi,68,3.8,30486,3rd Owner,29.1,4.96
2025-09-13,Bajaj Platina,Bengaluru,62,1.8,11254,2nd Owner,51.5,4.56
2024-07-25,Hero Splendor Plus,Delhi,65,2.1,15092,1st Owner,56.9,10.02
2023-12-28,Hero HF Deluxe,Bengaluru,68,1.2,8455,3rd Owner,47.2,9.8
2026-04-08,Bajaj Platina,Bengaluru,62,4.6,28872,1st Owner,34.7,4.27
2023-03-02,Royal Enfield Classic 350,Bengaluru,35,4.9,40781,1st Owner,83.9,0.57
2024-03-23,Honda Activa 6G,Bengaluru,55,0.6,4676,1st Owner,77.7,9.66
2023-09-20,KTM Duke 200,Mumbai,32,2.9,15301,1st Owner,115.5,-0.04
2026-06-21,TVS Jupiter,Mumbai,52,3.3,23118,1st Owner,43.1,4.12
2025-08-15,TVS Jupiter,Mumbai,52,6.9,51022,3rd Owner,20.9,4.54
2024-06-28,Hero Splendor Plus,Delhi,65,7.8,35585,1st Owner,23.8,9.93
2022-10-22,Hero HF Deluxe,Delhi,68,1.0,4191,2nd Owner,55.2,9.1
2023-10-23,KTM Duke 200,Delhi,32,7.5,46799,1st Owner,54.8,1.78
2025-04-01,Royal Enfield Classic 350,Delhi,35,3.9,15890,2nd Owner,103.6,4.96
2024-04-12,Royal Enfield Classic 350,Mumbai,35,1.5,13114,1st Owner,160.9,9.5
2024-02-29,Hero Splendor Plus,Delhi,65,1.4,12102,3rd Owner,54.9,10.13
2024-10-18,KTM Duke 200,Bengaluru,32,1.8,16241,1st Owner,138.5,4.88
2024-01-22,Suzuki Access 125,Bengaluru,50,4.3,19472,3rd Owner,37.2,9.77
2024-05-31,KTM Duke 200,Delhi,32,4.0,30786,1st Owner,98.5,10.05
2026-01-21,Bajaj Platina,Mumbai,62,7.4,46656,1st Owner,22.2,4.28
2025-06-11,Honda Activa 6G,Mumbai,55,4.9,37095,2nd Owner,34.4,4.61
2023-08-15,Yamaha FZ-S,Bengaluru,42,6.4,46277,1st Owner,37.9,-0.79
2022-06-09,Bajaj Platina,Mumbai,62,6.8,39092,1st Owner,27.1,9.82
2022-02-02,Yamaha FZ-S,Mumbai,42,5.7,37400,2nd Owner,41.4,0.0
2025-06-21,TVS Jupiter,Bengaluru,52,1.2,7982,1st Owner,67.6,4.71
2026-01-19,Honda Activa 6G,Delhi,55,1.3,11010,3rd Owner,55.9,4.54
2025-06-12,TVS Jupiter,Bengaluru,52,4.1,17308,1st Owner,41.0,4.7
2025-05-05,Bajaj Platina,Bengaluru,62,5.1,44751,1st Owner,29.3,4.74
2023-08-22,Hero HF Deluxe,Mumbai,68,8.0,47272,1st Owner,18.6,-0.64
